,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_tot_points,B_tot_points,A_tot_goal,B_tot_goal,A_tot_con,B_tot_con
158,Wolves,Brighton,2,2,1.634314459891005,1.2919849671047376,1.1266450802373105,1.530152014170187,1.5333333333333334,1.2,1.4,1.2,1.1333333333333333,1.4666666666666666
159,Arsenal,West Ham,3,1,1.3997814216504483,1.2993901540252895,1.5727195189916467,1.8568654765485975,1.2666666666666666,1.0666666666666667,1.4,1.1333333333333333,1.5333333333333334,1.6666666666666667
160,Watford,Liverpool,0,2,1.39227420637777,2.1105036201403786,1.608384825176751,0.9340329429346623,0.5625,2.875,0.5625,2.5,1.875,0.875
161,Aston Villa,Sheffield United,0,2,1.1519625228236914,1.2656613885579113,2.201405809721882,1.3994231658035354,0.9375,1.375,1.4375,1.1875,1.75,1.0
162,Newcastle United,Burnley,0,1,0.9212937147005287,1.3151306904323121,1.7715570228382929,1.3939011533102184,1.375,1.125,1.0625,1.3125,1.4375,1.8125
163,Norwich,Leicester,1,1,1.1231155163951656,1.6057752229089675,1.8516419754317084,1.3792007669343678,0.6875,2.375,1.0625,2.4375,2.125,0.625
164,Bournemouth,Chelsea,1,0,1.1551940064127448,1.9516665787814769,1.7987075739437228,1.001095689584393,1.0,1.8125,1.125,1.9375,1.5,1.5
165,West Ham,Southampton,1,0,1.329295659949339,1.3964060074924756,1.859367610262005,1.5199271193311936,1.0,0.9375,1.125,1.125,1.75,2.1875
166,Everton,Man Utd,1,1,1.6345795909255758,1.6837876412876982,1.2830906320674724,1.026259480247321,1.0625,1.5,1.1875,1.5625,1.75,1.1875
167,Tottenham,Wolves,2,1,1.3593812261369296,1.6251696314252746,1.5540343693709033,1.1333767756310529,1.4375,1.5,1.875,1.4375,1.4375,1.1875
168,Man City,Arsenal,3,0,2.575726852266407,1.3834468975525502,1.0199458156432109,1.616505873949632,2.0,1.375,2.75,1.5,1.1875,1.5
169,Brighton,Crystal Palace,1,1,1.3050758889164584,1.0179089786460276,1.517000937792117,1.4520897445515728,1.1875,1.375,1.25,0.875,1.5,1.125
170,Arsenal,Everton,0,0,1.4227982153222842,1.683073183458632,1.6136835837335477,1.275941368927025,1.2941176470588236,1.0588235294117647,1.411764705882353,1.1764705882352942,1.588235294117647,1.7058823529411764
171,Crystal Palace,Newcastle United,0,1,1.0369464778833857,0.9153663473684047,1.4152518782855572,1.7835404879396606,1.3529411764705883,1.2941176470588236,0.8823529411764706,1.0,1.1176470588235294,1.411764705882353
