,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
86,Watford,Tottenham,1,1,1.1285149344122023,1.4298282500093007,1.75005495015811,1.2458645760230656,5.984077380952382,5.440457589285714,6.704650297619048,6.5809849330357135,14.309016927083333,11.681631324404762,10.813890438988096,11.437351190476189
87,Man City,Crystal Palace,2,0,2.7987691543898805,0.9118800675734748,1.0139078479213168,1.7048968956194197,16.767266555059525,5.5270879836309526,4.309719122023809,8.818005952380952,7.966694568452381,15.60506882440476,23.06224423363095,7.9052222842261894
88,Liverpool,Man Utd,1,1,1.9635972165178572,1.8797365730375741,0.9311399853180804,1.1030374989443825,11.23306361607143,6.470870535714285,3.970196242559523,5.320963541666666,8.663034784226191,11.884705171130953,22.36177455357143,8.883868117559524
89,Arsenal,Sheffield United,0,1,1.4284717206845237,1.1718258989862351,1.5824999571335565,1.3243769909179688,8.350590587797619,5.652943638392857,6.504264322916667,5.987551153273809,11.944633556547618,12.498804873511904,12.454366629464285,13.056677827380952
90,Leicester,Southampton,9,0,1.9723235668762205,1.4848509728044783,1.0940518030482702,1.7566966109313964,8.444767543247767,5.50958251953125,6.606397356305804,8.318110874720983,9.323216029575892,9.443272181919642,13.362248011997767,10.430585588727677
91,Aston Villa,Man City,0,3,1.2125588410208565,2.702963582240513,2.0371820143432617,0.9929527324262346,5.089159284319196,15.844312395368304,11.681549072265625,3.790361676897321,11.956368582589285,8.093776157924108,7.88983154296875,23.620853969029017
92,Everton,Brighton,2,3,1.3362182975202288,1.3040349502476283,1.3271360366385325,1.7537105375889368,6.894688197544642,7.035221644810267,5.385920933314733,7.56976318359375,9.266287667410715,9.405683244977677,10.17032732282366,15.592324393136161
93,Sheffield United,West Ham,1,1,1.2643122802995954,1.2512937052350726,1.2698044289855956,1.8598411529715402,5.799634660993304,7.9122837611607135,5.738329206194196,6.829951695033482,12.71762956891741,9.57989937918527,13.053135463169642,11.368560791015625
94,Bournemouth,Watford,0,0,1.0552652341657367,1.1678401885114398,1.650811946097238,1.7785529532732283,5.10211181640625,6.422572544642858,8.144544328962054,6.785609654017858,12.968723842075892,13.852203369140625,9.727534702845983,10.32552228655134
95,Chelsea,Burnley,4,2,2.025302527823312,1.3793132477242607,1.168306192879813,1.2834602674211775,8.52557373046875,3.4143676757812504,5.226388113839286,6.462084089006696,9.942195347377233,12.285103934151786,13.928998674665179,8.692108154296875
96,Wolves,Newcastle United,1,1,1.5702542747017998,0.9112147148437502,1.1068623348999025,1.698396325919015,5.612204415457589,3.308720179966518,5.461495535714286,9.948399135044642,12.204829624720983,25.677599225725444,12.003082275390625,6.569719587053571
97,Man Utd,Norwich,3,1,1.9011472872227257,1.0010675788225445,1.0864444677603586,2.038838295523507,6.753941127232142,6.049656459263392,5.1759033203125,8.666878836495535,10.016911097935267,11.692269461495536,9.203626360212054,9.05218505859375
98,Tottenham,Liverpool,1,2,1.3638549218837195,2.109894265485491,1.253345415021624,0.8942432362357003,5.537928989955358,11.093497140066965,7.044673374720982,4.284558977399554,11.764029366629465,8.809095110212054,10.597516741071429,21.339163643973215
99,Crystal Palace,Arsenal,2,2,0.9082227508501326,1.352548050641741,1.5468957146432059,1.5639893973127093,6.056644984654017,7.453678676060267,8.016880580357142,6.597747802734375,15.192252022879465,12.510593959263392,8.098645891462054,12.175968715122767
100,Man Utd,Bournemouth,0,1,1.7727213268214634,1.0608521656009735,1.0563332195514499,1.6595722268696136,6.878722175719245,5.429772271050346,4.94390869140625,8.747625199575273,9.682638259161086,13.970461406405011,11.192313784644718,9.353782774910094
101,Newcastle United,West Ham,3,2,0.9761020084635417,1.2254261660553465,1.7645737522568474,1.8510138111397878,3.513791281079489,7.861601329985119,9.729043627542161,6.950509934198289,25.139954824296254,10.214349413674977,6.426957387772817,11.292529635959202
102,Burnley,Sheffield United,0,3,1.2314055117395797,1.3116593758385067,1.3561740858977789,1.162814238486396,3.0024583604600696,5.532988290938119,6.380857195172991,5.752866472516741,12.213709271143353,13.844427926199776,8.375879923502605,13.43907238188244
103,Norwich,Brighton,0,2,0.9913250466657366,1.2869241196783157,1.8124452791055348,1.6829458410562181,5.769119989304315,7.144375997876365,8.685385567801339,7.426998562282986,11.542698935856894,9.438700842478918,9.160396999782986,15.61497303796193
104,Southampton,Man City,1,2,1.5136568632042293,2.52039227211604,1.4711773547685412,1.0848645250692217,5.481272379557291,14.5196283734034,8.022660270569817,3.7464526948474703,8.918645949590774,8.755233038039435,11.017775278242807,23.475250970749627
105,Wolves,Arsenal,1,1,1.5288659261072552,1.3146128256060887,1.1791797607387966,1.5477883196842255,5.355970836821056,7.706252082945808,5.824745783730158,7.12009514702691,12.915672423347594,12.593338739304315,10.55846659342448,11.666192675393726
106,Liverpool,Aston Villa,2,1,2.0509206951807415,1.1610303498530312,0.8511282786670502,2.008069124657525,11.699413965618799,5.195317101857018,4.213194589766244,10.643685234917536,9.041923159644718,11.347681439112103,21.15365455264137,7.951507568359375
107,Chelsea,Watford,2,1,1.9888030540553503,1.2793406224830264,1.077377793275379,1.7773156225358266,8.718597412109375,6.565762958829366,4.9915887741815474,6.908631339905755,9.445406716967387,13.915969848632812,13.766276526072668,10.862993270631819
108,Leicester,Crystal Palace,2,0,1.7718624798275415,0.8855918758029031,1.2607433695455885,1.5018219527185832,8.086724901956224,6.442386929951017,6.906041947622148,7.793720548115079,10.138592916821677,14.459349132719494,12.731012011331224,8.03761000860305
109,Tottenham,Everton,1,1,1.3712468706679575,1.442747280991327,1.1375824475204228,1.3114380346030585,6.008044046068949,6.567205519903274,6.264413742792039,5.253369770352803,10.38824995737227,8.862605019221231,10.675432477678573,10.660864693777903
110,Watford,Norwich,2,0,1.3100935913588754,1.0160310443324496,1.6569416914090351,1.8107510151502582,6.6374748108878965,5.7806639898391,6.7631997729104665,8.701116289411273,13.770171356201171,11.515563989064049,10.819843607100228,9.052377149793838
111,Crystal Palace,Chelsea,0,2,0.9000078820127579,2.002771401352583,1.532861505082654,1.0641482536116098,6.470267583453467,8.732667541503908,7.904034520709326,4.99200933547247,13.686381676083517,9.273136381119016,8.135729508172897,14.077962699769035
112,Everton,Southampton,2,1,1.4565575169417606,1.5891760700440178,1.4002369828729058,1.3224581870301138,6.43884524390811,5.457208760579427,5.690701281835162,6.3715272570413255,9.369474768260169,8.272713652111236,10.977821459089007,11.216886514330668
