,round,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_ppg,B_ppg,A_gpg,B_gpg,A_cpg,B_cpg,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
68,7,Newcastle United,Leicester,0,5,0.8558579000000002,1.49454680828125,1.6481497203125,1.1527919937500002,0.8333333333333334,1.8333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.8333333333333334,2.81484375,8.360156250000001,9.796875,5.57109375,26.66171875,6.554687500000001,6.40625,15.34765625
69,7,Arsenal,Man Utd,1,1,1.381360525,1.8427312046875,1.5367070265625,1.02629791484375,1.8333333333333333,1.3333333333333333,1.8333333333333333,1.3333333333333333,1.6666666666666667,1.0,9.01328125,5.9937499999999995,6.92109375,4.328125,11.3265625,11.38203125,11.42890625,10.772656249999999
70,8,Tottenham,Brighton,0,3,1.3505341923177085,1.3925847684895833,1.3445380049479168,1.892128714973958,1.5714285714285714,0.8571428571428571,2.0,0.7142857142857143,1.2857142857142858,1.4285714285714286,5.782031249999999,7.5173828125,7.856445312499999,7.767317708333334,12.272526041666667,10.132682291666667,11.547916666666666,14.572721354166667
71,8,Sheffield United,Watford,0,0,1.1503567373697916,1.1901027755208333,1.4511444517578125,1.7197228694010416,1.1428571428571428,0.2857142857142857,1.0,0.5714285714285714,1.0,2.857142857142857,5.3185546875,5.752083333333333,5.832747395833333,6.758854166666667,12.537174479166666,15.102018229166667,9.984114583333334,10.876497395833333
72,8,Leicester,Liverpool,1,2,1.6973570742578123,1.98312315625,1.2217619942708335,0.8626948072656251,2.0,3.0,1.8571428571428572,2.5714285714285716,0.7142857142857143,0.7142857142857143,8.080143229166667,10.789453125000001,5.773502604166667,3.967903645833333,8.258463541666668,8.483268229166667,13.9853515625,20.774218750000003
73,8,Aston Villa,Norwich,5,1,1.5911753045572918,1.0325954854166666,1.7902162626302083,2.2696051240885415,0.7142857142857143,0.8571428571428571,1.1428571428571428,1.2857142857142858,1.5714285714285714,2.2857142857142856,5.461393229166667,6.749348958333332,11.459830729166669,9.801953124999999,12.375520833333333,10.964453125,7.9657552083333325,9.188151041666668
74,8,Everton,Burnley,0,1,1.44845646484375,1.5218964384114582,1.14825045234375,1.1650703174479167,1.0,1.2857142857142858,0.8571428571428571,1.4285714285714286,1.7142857142857142,1.2857142857142858,7.453385416666666,4.147786458333334,4.4279296875,6.356445312499999,8.582812500000001,12.804427083333334,11.713606770833334,8.256575520833332
75,8,Crystal Palace,West Ham,2,1,1.095385534309896,1.3656499075520836,1.783862118359375,1.9316350885416667,1.5714285714285714,1.7142857142857142,0.8571428571428571,1.4285714285714286,1.0,1.2857142857142858,5.875325520833333,8.150520833333333,8.727083333333333,7.1738932291666675,16.11315104166667,9.819986979166668,8.436393229166667,11.4900390625
76,8,Wolves,Man City,2,0,1.5044931360677083,2.782304473958333,1.2211752975260417,1.0201970669921874,1.0,2.2857142857142856,1.2857142857142858,3.857142857142857,1.5714285714285714,1.0,4.7904296875,16.287825520833334,5.858333333333333,3.8720052083333334,12.948111979166665,7.810286458333334,12.300976562499999,22.83626302083333
77,8,Chelsea,Southampton,4,1,2.156037519140625,1.3556560610677084,1.1242949600260417,1.9622971787109371,1.5714285714285714,1.0,2.0,1.0,1.8571428571428572,1.5714285714285714,8.034505208333332,5.057161458333333,5.203645833333334,9.073111979166667,10.779752604166667,10.114322916666666,14.72356770833333,10.325390625
